Rang,Nom complet,Grandeur,Poids,Age,Parties jouees,Nombre de buts,Temps sur la glace,Temps/Partie jouees,Nombre de tirs
1,Alex Ovechkin,75,235,32,82,49,99110,20.14,355
2,Patrik Laine,77,206,19,82,44,81085,16.48,241
3,William Karlsson,73,189,25,82,43,92087,18.72,184
4,Eric Staal,76,209,33,82,42,87635,17.81,241
5,Evgeni Malkin,75,195,31,78,42,88873,18.99,239
6,Connor McDavid,73,192,21,82,41,106034,21.55,274
7,Anders Lee,75,231,27,82,40,84953,17.27,208
8,Tyler Seguin,73,201,26,82,40,102870,20.91,335
9,Nikita Kucherov,71,178,24,80,39,95143,19.82,279
10,Taylor Hall,73,205,26,76,39,87286,19.14,278
11,Nathan MacKinnon,72,205,22,74,39,88379,19.91,284
12,John Tavares,73,208,27,82,37,98032,19.93,257
13,Jamie Benn,74,209,28,82,36,97529,19.82,241
14,James van Riemsdyk,75,217,28,81,36,72385,14.89,248
15,David Pastrnak,72,188,21,82,35,88392,17.97,246
16,Anze Kopitar,75,224,30,82,35,108658,22.08,200
17,Phil Kessel,72,202,30,82,34,91935,18.69,261
18,Claude Giroux,71,185,30,82,34,100188,20.36,193
19,Logan Couture,73,205,28,78,34,86802,18.55,204
20,Rickard Rakell,74,198,24,77,34,89705,19.42,230
21,Brad Marchand,69,181,29,68,34,80441,19.72,182
22,Auston Matthews,75,216,20,62,34,67437,18.13,187
23,Jason Zucker,71,187,26,82,33,83448,16.96,222
24,Vladimir Tarasenko,72,225,26,80,33,91474,19.06,306
25,Brayden Point,70,166,21,82,32,96529,19.62,217
26,Nazem Kadri,72,190,27,80,32,80445,16.76,211
27,Brendan Gallagher,69,181,25,82,31,79494,16.16,278
28,Sean Couturier,75,211,25,82,31,106231,21.59,227
29,Vincent Trocheck,70,182,24,82,31,105112,21.36,287
30,Kyle Connor,73,182,21,76,31,77096,16.91,192
31,Sean Monahan,75,195,23,74,31,82948,18.68,202
32,Patrice Bergeron,73,195,32,64,30,74640,19.44,224
33,Nikolaj Ehlers,72,172,21,82,29,79116,16.08,231
34,Sidney Crosby,71,200,30,82,29,101791,20.69,247
35,Mikko Rantanen,76,211,21,81,29,92159,18.96,178
36,Sebastian Aho,71,172,20,78,29,83857,17.92,200
37,Evander Kane,74,212,26,78,29,91617,19.58,307
38,Viktor Arvidsson,69,180,24,78,29,83062,17.75,247
39,Erik Haula,72,193,26,76,29,79224,17.37,175
40,Patric Hornqvist,71,189,31,70,29,72756,17.32,247
41,Brock Boeser,73,191,20,62,29,65072,17.49,179
42,Alex DeBrincat,67,165,20,82,28,72826,14.80,181
43,Brayden Schenn,73,200,26,82,28,97049,19.73,210
44,Dustin Brown,72,216,33,81,28,96405,19.84,222
45,Evgeni Dadonov,71,185,28,74,28,83023,18.70,188
46,Alexander Radulov,73,201,31,82,27,99029,20.13,217
47,Patrick Kane,71,177,29,82,27,99318,20.19,285
48,Patrick Marleau,74,215,38,82,27,83580,16.99,203
49,Jonathan Huberdeau,73,188,24,82,27,94495,19.21,204
50,Matt Duchene,71,195,27,82,27,90194,18.33,190
51,Artemi Panarin,71,168,26,81,27,97835,20.13,228
52,Michael Grabner,73,188,30,80,27,71129,14.82,167
53,Aleksander Barkov,75,213,22,79,27,104612,22.07,256
54,Evgeny Kuznetsov,74,204,25,79,27,89168,18.81,187
55,Steven Stamkos,73,194,27,78,27,87864,18.77,212
56,Jon Marchessault,69,174,27,77,27,80871,17.50,268
57,Mika Zibanejad,74,227,24,72,27,77609,17.97,212
58,Filip Forsberg,73,205,23,67,26,70246,17.47,179
59,Sam Reinhart,73,192,22,82,25,84139,17.10,188
60,Yanni Gourde,69,172,26,82,25,79497,16.16,136
61,Jordan Eberle,71,187,27,81,25,78091,16.07,183
62,Craig Smith,73,208,28,79,25,72909,15.38,229
63,Gabriel Landeskog,73,215,25,78,25,94270,20.14,183
64,Leon Draisaitl,74,215,22,78,25,90419,19.32,194
65,Kevin Hayes,77,217,25,76,25,79131,17.35,172
66,James Neal,74,221,30,71,25,73166,17.18,202
67,Jack Eichel,74,206,21,67,25,80976,20.14,246
68,Jeff Skinner,71,200,25,82,24,82203,16.71,277
69,Tyler Toffoli,72,197,25,82,24,79304,16.12,251
70,Ryan O'Reilly,73,216,26,81,24,101170,20.82,230
71,Adam Henrique,72,195,27,81,24,86436,17.79,151
72,Travis Konecny,70,175,20,81,24,72449,14.91,177
73,Anthony Mantha,77,225,23,80,24,83010,17.29,190
74,Thomas Vanek,74,214,34,80,24,67621,14.09,168
75,Johnny Gaudreau,69,157,24,80,24,93234,19.42,227
76,Wayne Simmonds,74,185,29,75,24,81394,18.09,176
77,Matthew Tkachuk,74,202,20,68,24,70383,17.25,188
78,Cam Atkinson,68,179,28,65,24,73716,18.90,231
